model,language,domain,subdomain,correct,questions,accuracy
gemini-3.5-flash,ur,Social Sciences,commerce,403,423,95.27
gemini-3.5-flash,ur,STEM,computer science,789,821,96.1
gemini-3.5-flash,ur,Social Sciences,current and international affairs,340,437,77.8
gemini-3.5-flash,ur,Social Sciences,economics,860,907,94.82
gemini-3.5-flash,ur,Social Sciences,education,742,836,88.76
gemini-3.5-flash,ur,Humanities,ethics,203,228,89.04
gemini-3.5-flash,ur,Humanities,fine arts,132,148,89.19
gemini-3.5-flash,ur,Other,general knowledge,1251,1364,91.72
gemini-3.5-flash,ur,STEM,general science,899,926,97.08
gemini-3.5-flash,ur,Social Sciences,geography,603,630,95.71
gemini-3.5-flash,ur,Social Sciences,health and physical education,695,742,93.67
gemini-3.5-flash,ur,Humanities,islamic studies,1410,1497,94.19
gemini-3.5-flash,ur,STEM,mathematics,867,876,98.97
gemini-3.5-flash,ur,Social Sciences,pakistan studies,1792,1895,94.56
gemini-3.5-flash,ur,STEM,physics,610,621,98.23
gemini-3.5-flash,ur,Profession,professional development,470,514,91.44
gemini-3.5-flash,ur,Profession,professional studies,421,461,91.32
gemini-3.5-flash,ur,Social Sciences,psychology,440,460,95.65
gemini-3.5-flash,ur,Social Sciences,psychometrics,97,185,52.43
gemini-3.5-flash,ur,Social Sciences,sociology,729,778,93.7
gemini-3.5-flash,ur,Humanities,urdu grammar,671,756,88.76
gemini-3.5-flash,ur,Humanities,urdu language,2240,2520,88.89
gemini-3.5-flash,ur,Humanities,urdu literature,4732,5856,80.81
google__gemma-2-9b-it,ur,STEM,biology,616,931,66.17
google__gemma-2-9b-it,ur,STEM,chemistry,621,936,66.35
google__gemma-2-9b-it,ur,Social Sciences,civics,466,675,69.04
google__gemma-2-9b-it,ur,Social Sciences,commerce,265,423,62.65
google__gemma-2-9b-it,ur,STEM,computer science,617,823,74.97
google__gemma-2-9b-it,ur,Social Sciences,current and international affairs,185,437,42.33
google__gemma-2-9b-it,ur,Social Sciences,economics,578,907,63.73
google__gemma-2-9b-it,ur,Social Sciences,education,538,836,64.35
google__gemma-2-9b-it,ur,Humanities,ethics,150,228,65.79
google__gemma-2-9b-it,ur,Humanities,fine arts,102,148,68.92
google__gemma-2-9b-it,ur,Other,general knowledge,762,1365,55.82
google__gemma-2-9b-it,ur,STEM,general science,679,926,73.33
google__gemma-2-9b-it,ur,Social Sciences,geography,430,630,68.25
google__gemma-2-9b-it,ur,Social Sciences,health and physical education,392,742,52.83
google__gemma-2-9b-it,ur,Humanities,islamic studies,847,1497,56.58
google__gemma-2-9b-it,ur,STEM,mathematics,564,876,64.38
google__gemma-2-9b-it,ur,Social Sciences,pakistan studies,991,1895,52.3
google__gemma-2-9b-it,ur,STEM,physics,432,621,69.57
google__gemma-2-9b-it,ur,Profession,professional development,261,514,50.78
google__gemma-2-9b-it,ur,Profession,professional studies,345,461,74.84
google__gemma-2-9b-it,ur,Social Sciences,psychology,295,460,64.13
google__gemma-2-9b-it,ur,Social Sciences,psychometrics,60,185,32.43
google__gemma-2-9b-it,ur,Social Sciences,sociology,623,778,80.08
google__gemma-2-9b-it,ur,Humanities,urdu grammar,427,756,56.48
google__gemma-2-9b-it,ur,Humanities,urdu language,1312,2522,52.02
google__gemma-2-9b-it,ur,Humanities,urdu literature,2456,5859,41.92
google__gemma-3-4b-it,ur,STEM,biology,461,931,49.52
google__gemma-3-4b-it,ur,STEM,chemistry,438,936,46.79
google__gemma-3-4b-it,ur,Social Sciences,civics,383,675,56.74
google__gemma-3-4b-it,ur,Social Sciences,commerce,216,423,51.06
google__gemma-3-4b-it,ur,STEM,computer science,512,823,62.21
google__gemma-3-4b-it,ur,Social Sciences,current and international affairs,130,437,29.75
google__gemma-3-4b-it,ur,Social Sciences,economics,436,907,48.07
google__gemma-3-4b-it,ur,Social Sciences,education,434,836,51.91
google__gemma-3-4b-it,ur,Humanities,ethics,114,228,50.0
google__gemma-3-4b-it,ur,Humanities,fine arts,80,148,54.05
google__gemma-3-4b-it,ur,Other,general knowledge,631,1365,46.23
google__gemma-3-4b-it,ur,STEM,general science,540,926,58.32
